0,a
1,a
2,a
3,a
4,a
5,b
6,b
7,b
8,a
9,b
10,b
11,b
12,b
13,b
14,b
15,a
16,a
17,a
18,b
19,b
20,a
21,b
22,a
23,b
24,a
25,b
26,b
27,b
28,b
29,b
30,b
31,b
32,b
33,b
34,b
35,b
36,b
37,a
38,b
39,b
40,a
41,a
42,b
43,a
44,b
45,b
46,a
47,b
48,b
49,b
50,b
51,b
52,b
53,b
54,b
55,b
56,b
57,b
58,b
59,b
60,a
61,b
62,b
63,b
64,a
65,a
66,b
67,a
68,b
69,a
70,b
71,b
72,a
73,a
74,b
75,b
76,a
77,b
78,b
79,a
80,a
81,a
82,a
83,b
84,b
85,a
86,a
87,b
88,b
89,a
90,b
91,a
92,a
93,b
94,b
95,a
96,a
97,b
98,a
99,b
100,a
101,a
102,b
103,a
104,a
105,a
106,a
107,a
108,b
109,b
110,b
111,b
112,a
113,a
114,b
115,a
116,a
117,a
118,b
119,a
120,a
121,a
122,b
123,b
124,b
125,b
126,b
127,a
128,b
129,b
130,a
131,b
132,b
133,a
134,a
135,a
136,a
137,a
138,a
139,a
140,a
141,a
142,a
143,a
144,b
145,b
146,a
147,b
148,a
149,a
150,b
151,a
152,a
153,a
154,a
155,b
156,b
157,b
158,a
159,a
160,b
161,a
162,b
163,a
164,b
165,b
166,a
167,a
168,a
169,b
170,b
171,a
172,a
173,b
174,a
175,b
176,a
177,b
178,b
179,b
180,b
181,b
182,a
183,a
184,b
185,a
186,b
187,a
188,a
189,a
190,a
191,a
192,a
193,b
194,b
195,b
196,b
197,b
198,a
199,b
200,b
201,a
202,b
203,a
204,a
205,b
206,a
207,a
208,a
209,a
210,b
211,b
212,b
213,a
214,a
215,a
216,b
217,b
218,b
219,b
220,b
221,b
222,b
223,a
224,b
225,a
226,a
227,b
228,a
229,a
230,a
231,b
232,a
233,b
234,b
235,b
236,a
237,b
238,b
239,b
240,b
241,b
242,b
243,a
244,a
245,b
246,b
247,a
248,a
249,a
250,b
251,a
252,b
253,b
254,b
255,b
256,a
257,b
258,b
259,b
260,b
261,b
262,b
263,a
264,a
