#Network|Station|Latitude|Longitude|Elevation|SiteName|StartTime|EndTime
1A|PORM|-66.8176|141.395|8.0|1A-PORM|1980-01-01T00:00:00|
1A|TAA|-66.8176|141.395|8.0|1A-TAA|1980-01-01T00:00:00|
1B|KIL|0.2003|30.008|1372.0|1B-KIL|1980-01-01T00:00:00|
1B|KILE|0.2003|30.008|1372.0|1B-KILE|1980-01-01T00:00:00|
1F|N118|24.06|121.174|1850.0|1F-N118|1980-01-01T00:00:00|
1F|N134|23.7867|120.954|450.0|1F-N134|1980-01-01T00:00:00|
1G|LILU|65.2845|19.848|100.0|1G-LILU|1980-01-01T00:00:00|
1G|SA19|66.5538|22.19|300.0|1G-SA19|1980-01-01T00:00:00|
1G|SA29|65.2845|19.848|100.0|1G-SA29|1980-01-01T00:00:00|
1G|SA60|61.691|17.378|100.0|1G-SA60|1980-01-01T00:00:00|
3A|SANVU|-15.4465|167.203|56.0|3A-SANVU|1980-01-01T00:00:00|
3A|U16B|-36.8575|-73.08|27.0|3A-U16B|1980-01-01T00:00:00|
3A|U69B|-34.3701|-71.176|163.0|3A-U69B|1980-01-01T00:00:00|
3A|VIRH|-15.4465|167.203|56.0|3A-VIRH|1980-01-01T00:00:00|
3E|RPTN|36.3475|-88.763|144.0|3E-RPTN|1980-01-01T00:00:00|
3E|U45A|36.3475|-88.763|144.0|3E-U45A|1980-01-01T00:00:00|
4A|DAR2|-43.4201|172.355|150.0|4A-DAR2|1980-01-01T00:00:00|
4A|EYCZ|-43.4201|172.355|150.0|4A-EYCZ|1980-01-01T00:00:00|
4F|DYNG|65.0515|-16.648|955.0|4F-DYNG|1980-01-01T00:00:00|
5C|DZH|39.0992|70.583|1650.0|5C-DZH|1980-01-01T00:00:00|
5C|JOR2|39.0992|70.583|1650.0|5C-JOR2|1980-01-01T00:00:00|
5E|S204|-21.319|-69.896|1015.0|5E-S204|1980-01-01T00:00:00|
5E|S207|-21.319|-69.896|1015.0|5E-S207|1980-01-01T00:00:00|
5H|ANNI|37.9325|-77.982|114.0|5H-ANNI|1980-01-01T00:00:00|
5H|COOP|37.9565|-77.911|109.0|5H-COOP|1980-01-01T00:00:00|
5H|NORA|37.9325|-77.982|114.0|5H-NORA|1980-01-01T00:00:00|
5H|PTTI|37.9325|-77.982|114.0|5H-PTTI|1980-01-01T00:00:00|
6A|V01|50.2334|12.317|629.0|6A-V01|1980-01-01T00:00:00|
6A|V02|50.2334|12.317|629.0|6A-V02|1980-01-01T00:00:00|
6A|V03|50.2334|12.317|629.0|6A-V03|1980-01-01T00:00:00|
6A|V04|50.2334|12.317|629.0|6A-V04|1980-01-01T00:00:00|
6A|V05|50.2334|12.317|629.0|6A-V05|1980-01-01T00:00:00|
6A|V07|50.2334|12.317|629.0|6A-V07|1980-01-01T00:00:00|
6A|V08|50.2334|12.317|629.0|6A-V08|1980-01-01T00:00:00|
6A|V09|50.2334|12.317|629.0|6A-V09|1980-01-01T00:00:00|
6A|V10|50.2334|12.317|629.0|6A-V10|1980-01-01T00:00:00|
6A|V11|50.2334|12.317|629.0|6A-V11|1980-01-01T00:00:00|
6A|V12|50.2334|12.317|629.0|6A-V12|1980-01-01T00:00:00|
6A|WP02|-21.304|14.475|677.0|6A-WP02|1980-01-01T00:00:00|
6A|WP04|-21.2296|14.901|863.0|6A-WP04|1980-01-01T00:00:00|
6A|WP05|-20.5432|14.462|604.0|6A-WP05|1980-01-01T00:00:00|
6A|WP06|-20.2135|15.013|1080.0|6A-WP06|1980-01-01T00:00:00|
6A|WP08|-19.8737|12.977|6.0|6A-WP08|1980-01-01T00:00:00|
6A|WP20|-18.6865|14.946|1139.0|6A-WP20|1980-01-01T00:00:00|
6A|WP21|-19.6214|14.848|1233.0|6A-WP21|1980-01-01T00:00:00|
6A|WP22|-19.8838|13.949|908.0|6A-WP22|1980-01-01T00:00:00|
6C|425R|30.786|-104.986|1337.0|6C-425R|1980-01-01T00:00:00|
6D|TBCA|12.5715|-86.845|300.0|6D-TBCA|1980-01-01T00:00:00|
6D|TBCF|12.6037|-86.831|850.0|6D-TBCF|1980-01-01T00:00:00|
6D|TBHY|12.6037|-86.831|850.0|6D-TBHY|1980-01-01T00:00:00|
6D|TBTN|12.6037|-86.831|850.0|6D-TBTN|1980-01-01T00:00:00|
6D|TEL3|12.5715|-86.845|300.0|6D-TEL3|1980-01-01T00:00:00|
6E|ANAF|36.3556|25.773|335.0|6E-ANAF|1980-01-01T00:00:00|
6E|NIS1|36.6011|27.178|378.0|6E-NIS1|1980-01-01T00:00:00|
6E|NISY|36.6011|27.178|378.0|6E-NISY|1980-01-01T00:00:00|
6E|WB33|38.2119|-87.511|164.0|6E-WB33|1980-01-01T00:00:00|
7B|COEN|-13.9568|143.175|285.0|7B-COEN|1980-01-01T00:00:00|
7B|SA01|-13.9568|143.175|285.0|7B-SA01|1980-01-01T00:00:00|
7B|SA01|-13.9586|143.180099|0.0|QUEENSLAND, AUSTRALIA|1993-06-25T06:00:28|1993-10-06T01:40:37
7B|SA02|-17.3633|144.484695|0.0|QUEENSLAND, AUSTRALIA|1993-06-26T05:57:49|1993-08-05T18:19:48
7B|SA03|-20.337999|142.667801|0.0|QUEENSLAND, AUSTRALIA|1993-05-13T01:16:12|1993-10-05T03:22:28
7B|SA04|-22.941799|140.143997|0.0|QUEENSLAND, AUSTRALIA|1993-05-14T06:26:51|1993-10-03T22:00:58
7B|SA05|-23.2005|144.272293|0.0|QUEENSLAND, AUSTRALIA|1993-05-15T23:45:57|1993-10-03T01:02:58
7B|SA06|-22.892|148.308594|0.0|QUEENSLAND, AUSTRALIA|1993-05-05T00:44:50|1993-09-01T00:54:48
7B|SA07|-26.0327|146.781693|0.0|QUEENSLAND, AUSTRALIA|1993-05-17T03:26:31|1993-10-02T08:20:29
7B|SA08|-25.708401|150.892593|0.0|QUEENSLAND, AUSTRALIA|1993-05-03T03:00:58|1993-10-10T01:30:51
7B|SB01|-25.792299|139.588699|0.0|QUEENSLAND, AUSTRALIA|1993-11-19T00:18:33|1994-01-28T23:08:34
7B|SB03|-28.600201|140.264999|0.0|QUEENSLAND, AUSTRALIA|1993-11-20T01:31:00|1994-01-26T06:01:00
7B|SB04|-29.3367|145.006104|0.0|QUEENSLAND, AUSTRALIA|1993-11-16T01:41:43|1993-12-08T11:12:59
7B|SB05|-31.878901|141.595306|0.0|QUEENSLAND, AUSTRALIA|1993-11-21T07:26:36|1994-01-31T02:07:36
7B|SB06|-35.036659|140.146194|0.0|QUEENSLAND, AUSTRALIA|1993-11-24T02:08:28|1994-04-13T03:56:08
7B|SB07|-34.6577|144.507706|0.0|QUEENSLAND, AUSTRALIA|1994-02-03T23:19:35|1994-04-11T04:59:35
7B|SB08|-37.4328|141.975693|0.0|QUEENSLAND, AUSTRALIA|1993-11-25T05:07:59|1994-04-14T02:09:15
7B|SB09|-32.2892|146.857498|0.0|QUEENSLAND, AUSTRALIA|1993-12-13T07:21:56|1994-04-07T07:10:26
7B|SB10|-28.6597|149.012497|0.0|QUEENSLAND, AUSTRALIA|1993-12-15T01:10:55|1994-03-11T08:09:45
7B|SC01|-13.4|131.507004|0.0|QUEENSLAND, AUSTRALIA|1994-05-26T05:45:37|1994-10-05T20:48:46
7B|SC02|-14.8857|134.004501|0.0|QUEENSLAND, AUSTRALIA|1994-05-25T05:17:44|1994-08-10T20:54:33
7B|SC03|-16.629801|129.316803|0.0|QUEENSLAND, AUSTRALIA|1994-08-05T09:40:55|1994-10-15T19:20:55
7B|SC04|-16.605499|133.307495|0.0|QUEENSLAND, AUSTRALIA|1994-05-24T06:48:47|1994-08-29T10:48:40
7B|SC05|-16.966999|135.783905|0.0|QUEENSLAND, AUSTRALIA|1994-05-23T05:59:17|1994-09-14T06:04:32
7B|SC06|-19.1437|128.117905|0.0|QUEENSLAND, AUSTRALIA|1994-06-01T00:14:08|1994-10-17T03:17:48
7B|SC07|-19.369101|138.329407|0.0|QUEENSLAND, AUSTRALIA|1994-05-22T02:19:05|1994-08-01T00:09:25
7B|SC08|-22.274799|131.367203|0.0|QUEENSLAND, AUSTRALIA|1994-06-02T07:52:09|1994-10-18T23:59:59
7B|SC09|-22.3969|136.295303|0.0|QUEENSLAND, AUSTRALIA|1994-05-20T07:28:05|1994-08-02T18:45:22
7B|SC10|-25.190001|133.324097|0.0|QUEENSLAND, AUSTRALIA|1994-08-09T03:59:04|1994-10-19T13:59:04
7B|SD01|-25.0338|128.303497|0.0|QUEENSLAND, AUSTRALIA|1995-05-27T09:04:29|1995-05-31T23:20:29
7B|SD02|-25.190701|133.325104|0.0|QUEENSLAND, AUSTRALIA|1995-03-20T06:17:30|1995-05-07T06:37:30
7B|SD03|-27.0515|125.185699|0.0|QUEENSLAND, AUSTRALIA|1995-03-23T06:11:47|1995-08-07T03:08:30
7B|SD04|-28.510401|128.988693|0.0|QUEENSLAND, AUSTRALIA|1995-03-29T04:27:42|1995-04-17T21:37:42
7B|SD05|-29.001301|133.585098|0.0|QUEENSLAND, AUSTRALIA|1995-03-19T04:34:23|1995-08-04T14:27:14
7B|SD06|-28.4963|135.9021|0.0|QUEENSLAND, AUSTRALIA|1995-03-18T02:38:47|1995-05-24T02:28:47
7B|SD07|-31.0807|125.321602|0.0|QUEENSLAND, AUSTRALIA|1995-03-26T07:49:27|1995-07-08T00:00:00
7B|SD08|-30.7208|130.410904|0.0|QUEENSLAND, AUSTRALIA|1995-03-27T09:03:22|1995-08-10T01:25:16
7B|SD09|-30.4324|139.421494|0.0|QUEENSLAND, AUSTRALIA|1995-03-16T05:24:34|1995-05-22T06:44:34
7B|SD10|-32.843601|136.065704|0.0|QUEENSLAND, AUSTRALIA|1995-03-31T07:38:36|1995-06-03T06:48:38
7C|ATA|11.4537|43.205|50.0|7C-ATA|1980-01-01T00:00:00|
7C|ATA2|11.4537|43.205|50.0|7C-ATA2|1980-01-01T00:00:00|
7C|DAF|11.6076|42.529|270.0|7C-DAF|1980-01-01T00:00:00|
7C|DAF2|11.6076|42.529|270.0|7C-DAF2|1980-01-01T00:00:00|
7C|DAY|11.7525|42.638|1181.0|7C-DAY|1980-01-01T00:00:00|
7C|DLM|11.6076|42.529|270.0|7C-DLM|1980-01-01T00:00:00|
7C|OBO|11.9849|43.292|40.0|7C-OBO|1980-01-01T00:00:00|
7C|OBO2|11.9849|43.292|40.0|7C-OBO2|1980-01-01T00:00:00|
7D|CZ40|-27.31641315|149.5358298|303.7419326|CZ40|2012-01-01T00:13:27|2014-03-23T09:02:22
7D|CZ41|-28.21750167|149.5121827|245.2062258|CZ41|2012-01-01T00:16:28|2014-03-24T07:08:21
7D|CZ41A|-27.80073722|149.5633613|231.7111632|CZ41A|2012-01-01T00:11:54|2014-03-18T22:08:43
7D|CZ42|-28.72304117|149.5241935|180.1758542|CZ42|2012-01-01T00:04:29|2013-12-03T18:57:09
7D|CZ43|-29.14354896|149.5177124|180.6443128|CZ43|2012-01-01T00:01:36|2014-03-18T10:20:35
7D|CZ44|-29.63875917|149.4719476|178.4743672|CZ44|2012-01-01T00:11:35|2014-03-19T23:01:30
7D|CZ45|-30.07347312|149.5120085|192.0912161|CZ45|2013-01-01T00:00:35|2014-02-18T00:22:21
7D|CZ46|-30.54850439|149.5036832|261.3791143|CZ46|2013-01-01T00:09:13|2014-03-22T12:10:56
7D|DA40|-27.29734172|150.0721226|281.1511879|DA40|2012-01-01T00:07:00|2014-03-08T12:02:20
7D|DA41|-27.76436205|150.0426722|244.2030974|DA41|2012-01-01T00:15:48|2014-03-19T10:03:58
7D|DA41A|-28.23426471|150.0035351|215.7751527|DA41A|2012-01-01T00:11:56|2014-03-26T23:06:20
7D|DA42|-28.71710249|150.0215665|203.0040431|DA42|2012-01-01T00:15:38|2013-09-02T03:47:11
7D|DA43|-29.14511729|150.030001|229.8520443|DA43|2012-01-01T00:08:20|2013-12-17T00:30:21
7D|DA44|-29.63165364|150.013612|254.2987543|DA44|2012-01-01T00:06:52|2014-03-27T15:09:51
7D|DB40|-27.29861525|150.5413717|347.9407239|DB40|2012-01-01T00:13:34|2014-03-21T12:46:37
7D|DB41|-27.77304198|150.5249489|295.4782517|DB41|2012-01-01T00:10:38|2014-03-13T10:39:43
7D|DB41A|-28.21559808|150.5320596|245.4185942|DB41A|2012-11-21T04:04:00|2014-03-26T05:19:00
7D|DB42|-28.69838368|150.5757192|242.0312193|DB42|2012-01-01T00:05:50|2014-03-01T00:01:59
7D|DB43|-29.12493561|150.5309375|346.7738082|DB43|2012-01-01T00:02:16|2014-03-24T00:54:16
7D|DC40|-27.29437556|151.0857231|346.4178358|DC40|2012-01-01T00:07:04|2014-03-22T09:27:10
7D|DC41|-28.22068327|151.0787494|425.435396|DC41|2012-01-01T00:12:10|2014-03-08T23:55:26
7D|DC41A|-27.75549348|151.0596948|430.2635286|DC41A|2012-01-01T00:10:37|2014-03-20T23:58:40
7D|DC42|-28.66577913|151.0654838|290.3990159|DC42|2012-01-01T00:14:24|2014-03-21T10:53:07
7D|DC43|-29.16202618|151.0202779|412.449263|DC43|2012-01-01T00:14:29|2014-03-24T17:17:49
7D|DC44|-29.61471271|151.0466138|634.4172442|DC44|2012-01-01T00:10:25|2013-11-11T13:43:54
7D|DD40|-27.30395595|151.5761298|447.7211191|DD40|2012-01-01T00:16:37|2013-10-12T02:41:58
7D|DD41|-27.76740475|151.5734864|460.8337486|DD41|2012-01-01T00:14:25|2013-10-12T00:32:40
7D|DD41A|-28.21420265|151.5797776|502.7260094|DD41A|2012-01-01T00:07:41|2013-10-11T05:21:14
7D|DD42|-28.68553743|151.5796186|577.0688951|DD42|2012-01-01T00:12:56|2013-10-11T01:21:42
7D|DD43|-29.14141023|151.5657312|692.0091665|DD43|2013-04-11T04:56:00|2013-11-13T21:58:56
7D|DE40|-27.32190305|152.0910528|648.2905575|DE40|2012-01-01T00:11:48|2013-10-12T03:47:35
7D|DE41|-28.22300722|152.0734939|470.8895166|DE41|2012-01-01T00:05:56|2013-10-11T21:52:22
7D|DE41A|-27.76916476|152.0731942|465.78|DE41A|2012-11-25T21:54:00|2013-06-29T11:55:15
7D|DE42|-28.69708999|152.0895282|965.1181315|DE42|2012-01-01T00:09:23|2013-07-05T04:53:39
7D|DE43|-29.16424479|152.076911|1033.812291|DE43|2012-01-01T00:16:17|2013-10-10T23:33:09
7D|DE44|-29.61407283|152.0901003|967.8900218|DE44|2012-01-01T00:16:44|2013-10-10T21:12:37
7D|DF40|-27.30818902|152.6131166|138.5770277|DF40|2012-01-01T00:01:49|2013-10-13T01:01:08
7D|DF41|-28.24146918|152.5875715|271.9558049|DF41|2012-01-01T00:12:35|2013-10-13T23:44:56
7D|DF41A|-27.77363945|152.5929811|116.892605|DF41A|2012-01-01T00:05:15|2013-10-12T23:03:58
7D|DF42|-28.71091007|152.6068154|222.3971346|DF42|2012-01-01T00:04:18|2013-10-14T02:08:35
7D|DF43|-29.14500748|152.6068141|107.0766805|DF43|2012-01-01T00:08:39|2013-10-14T03:40:15
7D|DG41|-28.22147235|153.11867|897.2974805|DG41|2012-01-01T00:04:03|2013-10-13T05:21:09
7D|DG41A|-27.77195485|153.1170289|29.83451689|DG41A|2012-01-01T00:13:38|2013-10-13T03:11:03
7D|DG42|-28.65312403|153.1097159|130.2446059|DG42|2013-02-27T05:50:00|2013-07-07T00:00:47
7D|DG42A|-28.66200451|153.1226091|76.22248368|DG42A|2012-01-01T00:07:59|2013-02-28T05:53:53
7D|DG43|-29.13868624|153.1006755|29.70139064|DG43|2012-01-01T00:08:14|2013-10-14T22:20:56
7D|DG44|-29.60125033|153.1304856|37.55534526|DG44|2012-01-01T00:08:17|2013-08-09T01:17:10
7E|OST|50.556|16.216|556.0|7E-OST|1980-01-01T00:00:00|
7E|SCH2|50.6768|12.403|435.0|7E-SCH2|1980-01-01T00:00:00|
7F|X102|35.3795|-92.311|206.0|7F-X102|1980-01-01T00:00:00|
7F|X201|35.2923|-92.362|207.0|7F-X201|1980-01-01T00:00:00|
7F|X301|35.2382|-92.4|112.0|7F-X301|1980-01-01T00:00:00|
7F|X401|35.3795|-92.311|206.0|7F-X401|1980-01-01T00:00:00|
7F|CR40|-27.31282321|145.648944|228.3305962|CR40|2014-01-15T06:33:00|2014-08-03T04:05:12
7F|CR41|-27.77393479|145.64984|204.4007027|CR41|2013-01-01T00:00:16|2014-08-04T05:13:16
7F|CR42|-28.67181479|145.6474821|169.3134641|CR42|2013-01-01T00:08:09|2014-08-04T03:05:18
7F|CR43|-29.23145002|145.6427273|139.0349498|CR43|2013-09-19T01:24:00|2014-08-05T00:56:41
7F|CR44|-29.60088525|145.6368858|132.9327941|CR44|2013-01-01T00:00:08|2014-08-05T02:07:51
7F|CR45|-30.07939172|145.6196174|110.7276006|CR45|2013-01-01T00:07:39|2014-08-04T23:26:41
7F|CR46|-30.63313235|145.6044959|142.8086762|CR46|2013-01-01T00:00:09|2014-08-05T06:01:01
7F|CS40|-27.31318998|146.1786853|236.7287449|CS40|2013-09-16T06:52:00|2014-08-03T01:46:10
7F|CS41|-28.20496942|146.1608912|171.7735273|CS41|2013-01-01T00:00:01|2014-08-02T23:10:41
7F|CS42|-28.64136394|146.1996067|159.696648|CS42|2013-01-01T00:16:47|2014-08-04T01:39:44
7F|CS43|-29.11263459|146.1850204|143.225221|CS43|2014-01-16T08:27:00|2014-08-05T02:46:01
7F|CS44|-29.59899894|146.1736971|116.7845373|CS44|2013-01-01T00:00:32|2014-08-05T05:01:51
7F|CS45|-30.07451988|146.1670334|105.2691327|CS45|2013-01-01T00:00:21|2014-08-05T06:49:31
7F|CT40|-27.3059489|146.7492707|240.4642008|CT40|2013-01-01T00:00:22|2014-09-06T03:26:28
7F|CT41|-28.22791916|146.7396343|171.4953901|CT41|2013-01-01T00:01:36|2014-11-15T00:43:14
7F|CT42|-28.67650804|146.7409604|148.460888|CT42|2013-01-01T00:15:38|2014-08-04T01:26:02
7F|CT43|-29.13528583|146.7433831|134.3570549|CT43|2013-01-01T00:05:05|2014-05-18T02:10:32
7F|CT44|-29.6042919|146.7267569|115.3235148|CT44|2013-01-01T00:11:28|2014-08-04T04:56:46
7F|CT46|-30.62221167|146.7369171|153.879254|CT46|2013-01-01T00:06:39|2014-08-06T00:50:52
7F|CU41|-28.21164311|147.2296401|168.4598722|CU41|2013-01-01T00:00:22|2014-08-01T06:06:23
