station_code,latitude,longitude,elevation,network_code
SA01,-13.9586,143.180099,241.0,7B
SA02,-17.3633,144.484695,232.0,7B
SA03,-20.337999,142.667801,229.0,7B
SA04,-22.941799,140.143997,233.0,7B
SA05,-23.2005,144.272293,284.0,7B
SA06,-22.892,148.308594,305.0,7B
SA07,-26.0327,146.781693,388.0,7B
SA08,-25.708401,150.892593,477.0,7B
SB01,-25.792299,139.588699,439.0,7B
SB03,-28.600201,140.264999,560.0,7B
SB04,-29.3367,145.006104,641.0,7B
SB05,-31.878901,141.595306,669.0,7B
SB06,-35.036659,140.146194,606.0,7B
SB07,-34.6577,144.507706,480.0,7B
SB08,-37.4328,141.975693,401.0,7B
SB09,-32.2892,146.857498,111.857498,7B
SB10,-28.6597,149.012497,467.0,7B
SC01,-13.4,131.507004,392.0,7B
SC02,-14.8857,134.004501,317.0,7B
SC03,-16.629801,129.316803,274.0,7B
SC04,-16.605499,133.307495,201.0,7B
SC05,-16.966999,135.783905,162.0,7B
SC06,-19.1437,128.117905,167.0,7B
SC07,-19.369101,138.329407,246.0,7B
SC08,-22.274799,131.367203,693.0,7B
SC09,-22.3969,136.295303,337.0,7B
SC10,-25.190001,133.324097,402.0,7B
SD01,-25.0338,128.303497,600.0,7B
SD02,-25.190701,133.325104,401.0,7B
SD03,-27.0515,125.185699,454.0,7B
SD04,-28.510401,128.988693,320.0,7B
SD05,-29.001301,133.585098,180.0,7B
SD06,-28.4963,135.9021,178.0,7B
SD07,-31.0807,125.321602,176.0,7B
SD08,-30.7208,130.410904,124.0,7B
SD09,-30.4324,139.421494,110.0,7B
SD10,-32.843601,136.065704,229.0,7B
